N,P,K,temperature,humidity,ph,rainfall,label,zone
90,60,41,24.7,78.9,6.32,189.3,rice,hill
56,43,63,18.9,83.4,5.05,210.4,cardamom,hill
88,40,47,27.3,83.2,6.47,218.7,rice,terai
87,42,43,26.1,81.3,6.35,223.2,rice,terai
63,57,81,8.6,56.5,5.24,38.1,potato,mountain
93,74,79,19.9,64.9,6.53,68.3,tomato,hill
63,51,29,12.2,51.2,6.25,41.7,wheat,hill
29,21,24,6.5,46.9,5.36,30.3,buckwheat,mountain
86,72,77,16.5,66.1,6.43,41.2,cauliflower,hill
71,42,47,24.4,79.6,5.8,178.7,ginger,hill
66,57,81,9.1,56.0,5.25,30.4,potato,mountain
69,43,51,24.3,77.5,5.88,176.2,ginger,hill
67,42,54,22.6,77.4,5.87,182.3,ginger,hill
28,28,23,7.3,47.0,5.56,33.6,buckwheat,mountain
95,78,80,19.8,65.0,6.3,70.1,tomato,hill
88,73,76,16.3,68.3,6.34,51.0,cauliflower,hill
92,39,45,26.7,83.1,6.64,223.4,rice,terai
75,46,18,25.1,65.7,6.05,100.7,maize,hill
81,59,39,25.5,79.0,6.25,188.3,rice,hill
82,66,76,16.1,69.3,6.67,42.2,cauliflower,hill
74,64,84,13.7,63.6,5.55,56.6,potato,hill
21,61,28,15.4,55.7,6.74,26.8,lentil,terai
61,54,82,9.1,56.9,5.54,39.8,potato,mountain
45,40,27,14.6,50.4,6.39,26.5,mustard,terai
81,68,86,16.1,64.9,5.81,38.9,potato,terai
26,65,26,17.9,52.0,6.97,24.2,chickpea,terai
85,57,40,25.1,81.4,6.29,187.8,rice,hill
62,44,35,12.6,52.7,6.46,37.8,wheat,hill
92,42,39,27.7,84.1,6.82,239.6,rice,terai
41,42,29,13.5,51.4,6.69,30.0,mustard,terai
64,51,32,12.8,50.3,6.35,48.0,wheat,hill
83,67,78,16.5,70.0,6.47,52.3,cauliflower,hill
85,59,40,25.1,79.8,6.2,187.4,rice,hill
85,69,73,16.5,68.6,6.64,41.3,cauliflower,hill
77,73,91,15.5,65.3,5.81,49.4,potato,terai
88,72,77,20.7,64.6,6.39,63.4,tomato,hill
41,37,21,13.7,49.9,6.39,27.0,mustard,terai
84,45,24,26.2,68.9,6.65,112.9,maize,terai
81,57,45,24.5,81.5,6.01,188.0,rice,hill
84,69,79,15.1,66.3,6.52,40.6,cauliflower,hill
40,38,26,12.3,48.2,6.06,34.7,mustard,hill
73,44,53,22.9,76.9,5.9,178.5,ginger,hill
32,31,27,5.9,42.1,5.45,24.8,barley,mountain
