N,P,K,temperature,humidity,ph,rainfall,label,zone
92,42,41,26,80.6,6.36,217.6,rice,terai
88,57,42,25.4,80.4,6.21,183.7,rice,hill
93,40,39,27.4,83.4,6.95,237.7,rice,terai
76,51,17,23.9,64.2,6.27,90.3,maize,hill
79,47,22,26.3,68.4,6.33,110.2,maize,terai
69,49,33,16,56.2,6.99,36.3,wheat,terai
60,47,35,13,52.3,6.26,39,wheat,hill
48,43,27,15.2,49.8,6.34,20.8,mustard,terai
45,36,24,12.2,46.4,6.09,22.7,mustard,hill
71,64,81,13.7,60.1,5.52,50.4,potato,hill
82,70,91,16.9,66.1,5.96,43.6,potato,terai
63,55,79,8,54.6,5.36,32.1,potato,mountain
32,32,23,6.4,43.4,5.68,27.1,barley,mountain
35,22,22,6.6,44,5.58,32.6,buckwheat,mountain
20,61,32,15.4,55.5,6.87,34.6,lentil,terai
20,68,30,16.9,51,6.99,21.3,chickpea,terai
68,47,49,23.9,77,5.87,175.1,ginger,hill
54,40,58,17.2,82.3,5.17,214.7,cardamom,hill
93,79,77,19.9,65.1,6.47,58.1,tomato,hill
89,72,72,16.7,68.8,6.36,38.7,cauliflower,hill
94,43,45,25.8,83,6.4,224,rice,terai
84,56,43,24.2,81.6,6.25,186.8,rice,hill
91,41,40,27.6,85.5,6.67,245.5,rice,terai
79,47,23,25.4,63.5,6.31,101.4,maize,hill
77,46,22,25.7,66.4,6.45,105.2,maize,terai
62,50,37,15.4,54.4,6.94,33.6,wheat,terai
55,49,34,12.4,51,6.56,38.5,wheat,hill
47,38,25,15.3,49.6,6.45,29.2,mustard,terai
44,34,25,12.1,48.4,6.02,23.8,mustard,hill
70,62,83,13.3,60.5,5.41,61,potato,hill
84,68,90,16.8,65.4,6.13,49.5,potato,terai
61,58,78,9.4,54.4,5.25,31.1,potato,mountain
33,28,23,6,41.7,5.6,18.9,barley,mountain
31,23,19,6.8,45,5.58,35.3,buckwheat,mountain
16,59,29,15.3,54.5,6.68,29,lentil,terai
21,61,29,17.7,50.6,7.18,27.2,chickpea,terai
75,43,50,24.2,76,5.85,175.9,ginger,hill
56,43,60,17.3,83.6,5.24,211.3,cardamom,hill
86,74,79,20,65.3,6.25,59.3,tomato,hill
82,68,71,15.8,69.1,6.66,51.3,cauliflower,hill
94,42,45,26.9,82.7,6.66,219.7,rice,terai
85,62,43,24.5,80.5,6.28,185.9,rice,hill
94,36,37,27.9,85.7,6.64,242.2,rice,terai
80,52,22,25.3,65.7,6.08,97.6,maize,hill
